scientific,month,gno,count,latitude,longitude,nsb,stations_count,stations,nsb_category
Alcedo atthis,8,930,1,22.47242379,113.9993718,12.21860604427822,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Alcedo atthis,8,931,2,22.47243418,114.0090884,12.21860604427822,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Alcedo atthis,9,930,4,22.47242379,113.9993718,12.434991467016738,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Alcedo atthis,10,860,1,22.48145416,113.9993603,13.221696914700546,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Alcedo atthis,10,930,2,22.47242379,113.9993718,13.221696914700546,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Alcedo atthis,10,931,3,22.47243418,114.0090884,13.221696914700546,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Alcedo atthis,10,932,2,22.472444,114.0188049,13.221696914700546,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Alcedo atthis,11,930,2,22.47242379,113.9993718,13.762746377286737,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Alcedo atthis,12,860,2,22.48145416,113.9993603,14.166821690711211,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",
Alcedo atthis,12,930,5,22.47242379,113.9993718,14.166821690711211,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",
Alcedo atthis,12,931,2,22.47243418,114.0090884,14.166821690711211,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",
Amaurornis phoenicurus,1,860,1,22.48145416,113.9993603,13.61373671118716,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Amaurornis phoenicurus,1,930,1,22.47242379,113.9993718,13.61373671118716,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Amaurornis phoenicurus,2,860,1,22.48145416,113.9993603,14.407064511043773,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",
Amaurornis phoenicurus,3,930,3,22.47242379,113.9993718,12.57666983087316,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Amaurornis phoenicurus,3,931,1,22.47243418,114.0090884,12.57666983087316,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Amaurornis phoenicurus,4,860,1,22.48145416,113.9993603,11.943803108128067,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Amaurornis phoenicurus,4,930,1,22.47242379,113.9993718,11.943803108128067,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Amaurornis phoenicurus,4,931,4,22.47243418,114.0090884,11.943803108128067,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Amaurornis phoenicurus,5,860,1,22.48145416,113.9993603,11.488827680472998,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Amaurornis phoenicurus,5,930,4,22.47242379,113.9993718,11.488827680472998,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Amaurornis phoenicurus,6,860,2,22.48145416,113.9993603,11.636687146585473,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Amaurornis phoenicurus,6,930,2,22.47242379,113.9993718,11.636687146585473,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Amaurornis phoenicurus,7,930,3,22.47242379,113.9993718,11.563271272381558,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Amaurornis phoenicurus,7,931,3,22.47243418,114.0090884,11.563271272381558,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Amaurornis phoenicurus,8,860,1,22.48145416,113.9993603,12.21860604427822,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Amaurornis phoenicurus,8,930,1,22.47242379,113.9993718,12.21860604427822,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Amaurornis phoenicurus,8,931,1,22.47243418,114.0090884,12.21860604427822,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Amaurornis phoenicurus,9,930,1,22.47242379,113.9993718,12.434991467016738,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Amaurornis phoenicurus,9,931,1,22.47243418,114.0090884,12.434991467016738,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Amaurornis phoenicurus,10,930,3,22.47242379,113.9993718,13.221696914700546,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Amaurornis phoenicurus,10,931,2,22.47243418,114.0090884,13.221696914700546,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Amaurornis phoenicurus,10,932,2,22.472444,114.0188049,13.221696914700546,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Amaurornis phoenicurus,11,860,1,22.48145416,113.9993603,13.762746377286737,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Amaurornis phoenicurus,12,860,2,22.48145416,113.9993603,14.166821690711211,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",
Amaurornis phoenicurus,12,930,2,22.47242379,113.9993718,14.166821690711211,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",
Amolops hongkongensis,11,1572,1,22.39123577,114.1160062,13.756754463409848,1,['Ho Koon Nature Education cum Astronomical Centre'],13-14
Amolops hongkongensis,12,2484,2,22.2738444,114.1354627,12.455780147838514,1,['The University of Hong Kong'],12-13
Ampittia dioscorides,3,930,1,22.47242379,113.9993718,12.57666983087316,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Ampittia dioscorides,7,930,1,22.47242379,113.9993718,11.563271272381558,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Ampittia dioscorides,8,930,1,22.47242379,113.9993718,12.21860604427822,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Ampittia dioscorides,10,930,1,22.47242379,113.9993718,13.221696914700546,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Anas acuta,1,931,8,22.47243418,114.0090884,13.61373671118716,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Anas acuta,2,931,6,22.47243418,114.0090884,14.407064511043773,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",
Anas acuta,10,931,3,22.47243418,114.0090884,13.221696914700546,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Anas acuta,11,860,2,22.48145416,113.9993603,13.762746377286737,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Anas acuta,11,931,2,22.47243418,114.0090884,13.762746377286737,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Anas acuta,12,931,7,22.47243418,114.0090884,14.166821690711211,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",
Anas crecca,1,930,1,22.47242379,113.9993718,13.61373671118716,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Anas crecca,1,931,4,22.47243418,114.0090884,13.61373671118716,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Anas crecca,2,930,2,22.47242379,113.9993718,14.407064511043773,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",
Anas crecca,2,931,6,22.47243418,114.0090884,14.407064511043773,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",
Anas crecca,3,931,7,22.47243418,114.0090884,12.57666983087316,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Anas crecca,4,931,4,22.47243418,114.0090884,11.943803108128067,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Anas crecca,10,931,6,22.47243418,114.0090884,13.221696914700546,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Anas crecca,11,860,1,22.48145416,113.9993603,13.762746377286737,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Anas crecca,11,931,5,22.47243418,114.0090884,13.762746377286737,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Anas crecca,12,860,1,22.48145416,113.9993603,14.166821690711211,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",
Anas crecca,12,931,4,22.47243418,114.0090884,14.166821690711211,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",
Anas platyrhynchos,1,794,1,22.49052264,114.0382201,9.197911036036036,1,['Mai Po Nature Reserve'],9-10
Anax guttatus,5,930,3,22.47242379,113.9993718,11.488827680472998,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Anax guttatus,7,860,1,22.48145416,113.9993603,11.563271272381558,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Anax guttatus,7,930,1,22.47242379,113.9993718,11.563271272381558,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Anax guttatus,8,860,1,22.48145416,113.9993603,12.21860604427822,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Anax guttatus,8,930,4,22.47242379,113.9993718,12.21860604427822,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Anax guttatus,9,860,1,22.48145416,113.9993603,12.434991467016738,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Anax guttatus,9,930,2,22.47242379,113.9993718,12.434991467016738,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Anax guttatus,10,860,1,22.48145416,113.9993603,13.221696914700546,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Anax julius,5,860,1,22.48145416,113.9993603,11.488827680472998,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Anax julius,7,930,1,22.47242379,113.9993718,11.563271272381558,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Anax julius,9,930,1,22.47242379,113.9993718,12.434991467016738,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
