scientific,month,gno,count,longitude,latitude
Actitis hypoleucos,9,860,2,113.9993603,22.48145416
Actitis hypoleucos,9,931,3,114.0090884,22.47243418
Actitis hypoleucos,9,1985,1,114.0480795,22.33701279
Actitis hypoleucos,9,656,1,114.0576403,22.50859894
Actitis hypoleucos,9,2341,1,114.1063452,22.29189563
Actitis hypoleucos,10,931,3,114.0090884,22.47243418
Actitis hypoleucos,10,932,1,114.0188049,22.472444
Actitis hypoleucos,11,2677,1,113.9705549,22.24662682
Actitis hypoleucos,11,860,1,113.9993603,22.48145416
Actitis hypoleucos,11,931,3,114.0090884,22.47243418
Actitis hypoleucos,12,860,2,113.9993603,22.48145416
Actitis hypoleucos,12,931,4,114.0090884,22.47243418
Actitis hypoleucos,12,656,1,114.0576403,22.50859894
Acytolepis puspa,3,860,1,113.9993603,22.48145416
Acytolepis puspa,4,1482,1,113.9217717,22.40007653
Acytolepis puspa,4,930,1,113.9993718,22.47242379
Acytolepis puspa,4,931,1,114.0090884,22.47243418
Acytolepis puspa,4,878,1,114.1742702,22.48155183
Acytolepis puspa,4,948,1,114.1742704,22.47252141
Acytolepis puspa,5,2601,1,113.9123328,22.25557312
Acytolepis puspa,5,930,1,113.9993718,22.47242379
Acytolepis puspa,5,931,1,114.0090884,22.47243418
Acytolepis puspa,5,675,1,114.2423035,22.50862974
Acytolepis puspa,5,676,1,114.2520227,22.5086255
Acytolepis puspa,5,677,1,114.2617418,22.50862067
Acytolepis puspa,5,1528,1,114.3685028,22.40016411
Acytolepis puspa,6,2881,1,113.9124006,22.21945077
Acytolepis puspa,6,2535,1,113.9511242,22.26466223
Acytolepis puspa,6,860,1,113.9993603,22.48145416
Acytolepis puspa,6,930,1,113.9993718,22.47242379
Acytolepis puspa,6,931,1,114.0090884,22.47243418
Acytolepis puspa,6,1296,1,114.1548443,22.42736769
Acytolepis puspa,6,1374,1,114.2325483,22.4183291
Acytolepis puspa,6,1375,1,114.2422611,22.41832546
Acytolepis puspa,7,860,1,113.9993603,22.48145416
Acytolepis puspa,7,930,1,113.9993718,22.47242379
Acytolepis puspa,7,931,1,114.0090884,22.47243418
Acytolepis puspa,7,1575,1,114.145139,22.3912441
Acytolepis puspa,7,2559,1,114.1839764,22.26481886
Acytolepis puspa,7,1374,1,114.2325483,22.4183291
Acytolepis puspa,7,1375,1,114.2422611,22.41832546
Acytolepis puspa,8,931,1,114.0090884,22.47243418
Acytolepis puspa,8,1984,1,114.0383723,22.33700478
Acytolepis puspa,8,1933,1,114.2228118,22.34608798
Acytolepis puspa,9,931,1,114.0090884,22.47243418
Acytolepis puspa,9,2545,1,114.0481457,22.26476805
Acytolepis puspa,10,1228,1,114.174271,22.43639963
Acytolepis puspa,11,250,1,114.1937145,22.56282428
Acytolepis puspa,11,330,1,114.2909362,22.55375437
Aeromachus jhora,3,930,1,113.9993718,22.47242379
Aeromachus jhora,4,878,1,114.1742702,22.48155183
Aeromachus jhora,6,666,1,114.1548314,22.50864154
Aeromachus jhora,8,930,1,113.9993718,22.47242379
Aeromachus jhora,9,1239,1,114.2811259,22.43636598
Aeromachus jhora,9,1310,1,114.2908326,22.42732896
Aethopyga christinae,1,2811,1,113.9123836,22.22848137
Aethopyga christinae,1,860,1,113.9993603,22.48145416
Aethopyga christinae,1,930,1,113.9993718,22.47242379
Aethopyga christinae,1,1290,1,114.0965636,22.42734924
Aethopyga christinae,1,1228,2,114.174271,22.43639963
Aethopyga christinae,1,1298,2,114.1742712,22.42736916
Aethopyga christinae,1,1583,1,114.2228266,22.39124067
Aethopyga christinae,2,860,1,113.9993603,22.48145416
Aethopyga christinae,2,930,2,113.9993718,22.47242379
Aethopyga christinae,4,674,1,114.2325844,22.5086334
Aethopyga christinae,4,675,1,114.2423035,22.50862974
Aethopyga christinae,6,739,2,114.1839883,22.4996125
Aethopyga christinae,6,740,1,114.1937068,22.49961177
Aethopyga christinae,9,2413,1,114.1257566,22.28287227
Aethopyga christinae,9,251,1,114.2034374,22.56282297
Aethopyga christinae,9,322,1,114.213158,22.55379074
Aethopyga christinae,10,1773,1,114.0286365,22.36408778
Aethopyga christinae,10,458,1,114.1742692,22.53573413
Aethopyga christinae,10,1228,1,114.174271,22.43639963
Aethopyga christinae,10,1298,2,114.1742712,22.42736916
Aethopyga christinae,10,389,1,114.1839907,22.54476434
Aethopyga christinae,10,674,2,114.2325844,22.5086334
Aethopyga christinae,10,675,1,114.2423035,22.50862974
Aethopyga christinae,10,1103,1,114.3200007,22.45439706
Aethopyga christinae,11,2734,1,113.8444654,22.23738736
Aethopyga christinae,11,1218,1,114.0771302,22.43636887
Aethopyga christinae,11,1152,1,114.1159826,22.44541864
Aethopyga christinae,11,951,2,114.2034202,22.47251924
Aethopyga christinae,11,322,2,114.213158,22.55379074
Aethopyga christinae,12,930,1,113.9993718,22.47242379
Aethopyga christinae,12,931,2,114.0090884,22.47243418
Aethopyga christinae,12,1429,1,114.0868617,22.40928317
Aethopyga christinae,12,1504,1,114.1354254,22.40027241
Aethriamanta brevipennis,4,930,4,113.9993718,22.47242379
Aethriamanta brevipennis,5,930,14,113.9993718,22.47242379
Aethriamanta brevipennis,5,530,1,114.1937101,22.52670291
Aethriamanta brevipennis,6,860,2,113.9993603,22.48145416
Aethriamanta brevipennis,6,930,12,113.9993718,22.47242379
Aethriamanta brevipennis,6,931,1,114.0090884,22.47243418
Aethriamanta brevipennis,6,938,1,114.0771044,22.47249059
Aethriamanta brevipennis,6,532,1,114.2131509,22.5266997
Aethriamanta brevipennis,7,860,1,113.9993603,22.48145416
Aethriamanta brevipennis,7,930,6,113.9993718,22.47242379
Aethriamanta brevipennis,7,931,1,114.0090884,22.47243418
Aethriamanta brevipennis,8,930,5,113.9993718,22.47242379
Aethriamanta brevipennis,9,930,3,113.9993718,22.47242379
Agriocnemis femina oryzae,4,1138,2,113.979977,22.44531008
Agriocnemis femina oryzae,6,532,1,114.2131509,22.5266997
Agriocnemis femina oryzae,7,878,1,114.1742702,22.48155183
Agriocnemis femina oryzae,9,1241,1,114.300554,22.43635226
Agriocnemis pygmaea,3,930,1,113.9993718,22.47242379
Agriocnemis pygmaea,4,1004,2,114.0382471,22.46343147
Agriocnemis pygmaea,4,1074,1,114.038256,22.45440106
Agriocnemis pygmaea,5,1004,1,114.0382471,22.46343147
Agriocnemis pygmaea,6,1004,2,114.0382471,22.46343147
Agriocnemis pygmaea,6,1074,3,114.038256,22.45440106
